Код товара;Название;Цена;Старая цена;Наличие;Ссылка на товар;Дата обновления;;;;;
10000466;Солнцезащитные очки Leto;717;1025;В наличии;https://www.sportmaster.ru/product/10000466/;19.12.2019 1:12;;;;;
10000468;Солнцезащитные очки Leto;707;1011;В наличии;https://www.sportmaster.ru/product/10000468/;19.12.2019 1:12;;;;;
10000518;Шапочка для плавания Speedo;926;0;В наличии;https://www.sportmaster.ru/product/10000518/;19.12.2019 1:12;;;;;
10000520;Шапочка для плавания Speedo Pace;1013;0;В наличии;https://www.sportmaster.ru/product/10000520/;19.12.2019 1:12;;;;;
10001997;Ласты для плавания Joss Fins;1322;0;В наличии;https://www.sportmaster.ru/product/10001997/?icid=catalog/vidy_sporta_/snorkeling/lasty/|sort_DN|10001997#http://recs.richrelevance.com/rrserver/apiclick?a=1b3ec00b69aa8a3c&cak=dd7046b11b172a92&vg=c506d861-f9c4-41d1-53e8-4e5bc734da9c&stid=276300&pti=4&pa=23034&pos=0&p=10001997&channelId=dd7046b11b172a92&s=&u=&rid=0c5b2444-70a0-4932-980c-b4dc0d3f02b5;19.12.2019 1:12;;;;;
10002287;Шапочка для плавания Speedo;400;0;В наличии;https://www.sportmaster.ru/product/10002287/;19.12.2019 1:12;;;;;
10002291;Шапочка для плавания детская Speedo;411;0;В наличии;https://www.sportmaster.ru/product/10002291/;19.12.2019 1:12;;;;;
10002293;Шапочка для плавания детская Speedo Pace;914;0;В наличии;https://www.sportmaster.ru/product/10002293/;19.12.2019 1:12;;;;;
10002295;Шапочка для плавания детская Speedo Pace;921;0;В наличии;https://www.sportmaster.ru/product/10002295/;19.12.2019 1:12;;;;;
10002297;Шлепанцы для девочек Speedo Atami;1322;0;В наличии;https://www.sportmaster.ru/product/10002297/;19.12.2019 1:12;;;;;
10002377;Комплект для плавания Joss;2047;0;В наличии;https://www.sportmaster.ru/product/10002377/?icid=catalog/vidy_sporta_/snorkeling/nabory/|sort_DN|10002377#http://recs.richrelevance.com/rrserver/apiclick?a=1b3ec00b69aa8a3c&cak=dd7046b11b172a92&vg=4a669724-08cb-4e3e-7f07-075bc7336f0b&stid=276300&pti=4&pa=23034&pos=11&p=10002377&channelId=dd7046b11b172a92&s=&u=&rid=0c5b2444-70a0-4932-980c-b4dc0d3f02b5;19.12.2019 1:12;;;;;
10002379;Комплект для плавания Joss;2017;0;В наличии;https://www.sportmaster.ru/product/10002379/?icid=catalog/vidy_sporta_/snorkeling/nabory/|sort_DN|10002379#http://recs.richrelevance.com/rrserver/apiclick?a=1b3ec00b69aa8a3c&cak=dd7046b11b172a92&vg=4a669724-08cb-4e3e-7f07-075bc7336f0b&stid=276300&pti=4&pa=23034&pos=12&p=10002379&channelId=dd7046b11b172a92&s=&u=&rid=0c5b2444-70a0-4932-980c-b4dc0d3f02b5;19.12.2019 1:12;;;;;
